Code,Room Type,Room Size,Bed Configuration,Max Occupancy,Room Price
42,Deluxe Double Room,323,"1 sofa bed and, 1 queen bed",53,140
43,Double or Twin Room,1,"1 full bed and, 1 bunk bed",31,128
43,Deluxe Studio,301,"2 twin beds and, 1 queen bed",31,324
43,Deluxe Suite with Spa Bath,506,1 king bed,31,243
43,King Suite with Balcony,506,"1 full bed and, 1 bunk bed",31,163
44,"Suite with Garden View, Suite with Mountain View","700, 700",N/A,9,"166, 192, 197"
45,Deluxe Queen Room,667,1 full bed,7,82
45,Chalet,926,1 full bed,7,128
46,Three-Bedroom Villa,1453,N/A,3,"143, 146, 149"
47,Family Room with Mountain View,388,"2 twin beds and, 1 full bed",14,49
47,Classic Quadruple Room,431,"2 twin beds and, 1 full bed",14,52
48,"Two-Bedroom Apartment, Three-Bedroom Apartment","969, 1184",N/A,77,"43, 48, 64, 72, 86, 96, 108, 121, 117, 131, 66, 98, 131, 165, 166, 179, 49, 54, 73, 82, 97, 109, 120, 134, 144, 161, 169, 189, 174, 194, 176, 196, 67, 101, 134, 166, 199, 233, 240, 252, 264"
49,Twin Room with Balcony,1,1 queen bed,20,67
49,Double Room,215,2 twin beds,20,53
49,Double Room with Mountain View,1,1 queen bed,20,80
49,Deluxe Double Room,323,1 queen bed,20,64
49,Studio,1,1 queen bed,20,80
49,Single Room with Balcony,323,"1 sofa bed and, 1 queen bed",20,64
50,Double or Twin Room with View,194,"1 full bed and, 1 sofa bed",12,73
50,Double Room with Mountain View,301,2 full beds,12,63
50,Double Room with Balcony,269,2 twin beds,12,93
50,Family Room,495,"1 full bed and, 1 sofa bed",12,98
51,Standard Double Room,215,1 full bed,25,79
51,Double Room with Balcony,215,3 twin beds,25,62
51,Triple Room with Balcony,258,"1 twin bed and, 1 full bed",25,107
51,Standard Triple Room,237,"1 twin bed and, 1 full bed",25,104
51,Family Room,269,"2 twin beds and, 1 full bed",25,106
51,Chalet,538,"2 twin beds and, 1 full bed",25,111
51,Family Room with Balcony,269,1 full bed,25,152
51,Cottage,592,1 full bed,25,160
51,Cottage,710,3 twin beds,25,203
52,Budget Triple Room,366,"1 twin bed and, 1 full bed",27,52
52,Economy Double Room,323,1 queen bed,27,63
52,Double Room,323,1 queen bed,27,50
52,Triple Room with Garden View,388,"1 twin bed and, 1 queen bed",27,57
52,Double Room with Garden View,323,1 queen bed,27,52
52,Family Room with Mountain View,323,"1 twin bed and, 1 full bed",27,63
53,Three-Bedroom Villa,2476,N/A,1,358
54,Economy Double Room,1,1 queen bed,10,61
54,Double Room,258,1 queen bed,10,66
54,Junior Suite with Balcony,1,"2 twin beds and, 1 queen bed",10,82
54,Family Suite with Balcony,323,1 queen bed,10,97
55,Standard Double Room,1,1 full bed,77,55
55,Standard Twin Room,242,2 twin beds,77,84
